song name,danceability,mood_acoustic,mood_aggressive,mood_electronic,mood_happy,mood_party,mood_relaxed,mood_sad,tonal,voice_female,voice_male,instrumental,voice,tempo
Blue Jeans (Remastered 2011) - Lana Del Rey,0.1905218,0.19204837,0.17944999,0.10724683,0.22471772,0.43462452,0.76332635,0.6197483,0.91820216,0.37327665,0.6267235,0.08671837,0.9132813,116.0
Bones - Imagine Dragons,0.48980907,0.21427374,0.14221108,0.41396824,0.16822219,0.5608884,0.7834169,0.52535117,0.83895385,0.3986751,0.601325,0.15834008,0.8416601,57.0
Born To Die - Lana Del Rey,0.27602503,0.25175488,0.15294807,0.23291096,0.18527624,0.2725624,0.8170103,0.6039338,0.88485825,0.4113615,0.5886386,0.21187791,0.788122,114.0
Can We Kiss Forever (Instrumental) - Kinà,0.24460202,0.69800526,0.010584959,0.31486624,0.030705636,0.11173219,0.98844165,0.92542416,0.5657686,0.46694285,0.5330572,0.78285325,0.21714693,154.0
Can We Kiss Forever - Kinà,0.23115848,0.70004183,0.009902446,0.27294666,0.043607883,0.13505106,0.98902214,0.9226156,0.71824753,0.4429165,0.55708355,0.3444529,0.6555471,154.0
"Chahun Main Ya Naa - Palak Muchhal, Arijit Singh",0.21491927,0.6116455,0.03960166,0.10937231,0.3199536,0.17107096,0.8273312,0.7840532,0.73168576,0.37040794,0.6295918,0.27003166,0.7299684,108.0
"Chaiyya Chaiyya - Sukhwinder Singh, Sapna Awasthi",0.59488326,0.22912714,0.09017615,0.35762414,0.31024483,0.65243,0.7257445,0.4756919,0.86636615,0.33173943,0.6682609,0.22049731,0.77950275,91.0
"Chammak Challo - Vishal & Shekhar, Akon",0.8811394,0.12909019,0.22301021,0.6794816,0.5600181,0.811802,0.3586042,0.14060993,0.92766786,0.50778764,0.4922123,0.3761762,0.6238238,67.0
Chinna Chinna Asai - Minmini,0.4215416,0.5727443,0.015570848,0.323039,0.22333394,0.27048886,0.9530112,0.71223736,0.70936257,0.44155338,0.5584466,0.30044416,0.69955575,87.0
Chittiyaan Kalaiyaan - Meet Bros,0.7385593,0.17446722,0.12955339,0.41707423,0.45373562,0.7259213,0.5658977,0.30319437,0.90954614,0.36661974,0.6333804,0.18059853,0.8194014,100.0
"Chop Shop - Tyler Bates, Joel J Richard",0.2598807,0.20586032,0.04719655,0.5248,0.027616743,0.14410315,0.95626396,0.8454311,0.742257,0.57686967,0.42313024,0.7721636,0.22783652,154.0
Cold - Neffex,0.6197106,0.20090263,0.14325884,0.5620204,0.14276215,0.5937582,0.7844126,0.4317073,0.8967538,0.34252265,0.65747744,0.30633116,0.6936687,63.0
Crystallize - Lindsey Stirling,0.5743663,0.1716635,0.059873667,0.54035854,0.14820477,0.4618044,0.8232956,0.71291447,0.6417204,0.5616939,0.43830618,0.6924619,0.30753824,70.0
"Darkside - Alan Walker, AuRa, Tomine Harket",0.528867,0.2707639,0.1588872,0.44866535,0.32146096,0.49485564,0.68164325,0.48982626,0.8556702,0.5730499,0.42695004,0.26674744,0.73325217,128.0
Desi Kalakaar - Yo Yo Honey Singh,0.7439924,0.18314649,0.098727524,0.45931327,0.27576974,0.6801752,0.72620255,0.41547838,0.928615,0.2779025,0.72209764,0.08893147,0.9110685,78.0
