song name,artist,album,track no,album artist,year
"Manasellam Mazhaiye - Sonu Nigam, Saindhavi, GV Prakash Kumar","Sonu Nigam, Saindhavi, GV Prakash Kumar",Saguni,2,Various Artists,2012
"Marana Mass - Anirudh Ravichander, S P Balasubrahmanyam","Anirudh Ravichander, S P Balasubrahmanyam",Petta (Original Motion Picture Soundtrack),1,Anirudh Ravichander,2018
Masakali Lofi - Aelo,Aelo,Masakali 2.0,1,Various Artists,2020
Mayaanadhi - Shahabaz Aman,Shahabaz Aman,Mayaanadhi (Original Motion Picture Soundtrack),17,Rex Vijayan,2018
Mehabooba - Ananya Bhat,Ananya Bhat,Kgf Chapter 2,4,Ravi Basrur,2022
"Mehabooba - Ravi Basrur, Ananya Bhat","Ravi Basrur, Ananya Bhat",Kgf Chapter 2,4,Ravi Basrur,2022
Memories - JFla,JFla,memories (Remixes),2,leadwave,2022
"Mental Manadhil - AR Rahman, Jonita Gandhi","AR Rahman, Jonita Gandhi",O Kadhal Kanmani (Original Motion Picture Soundtrack),4,A.R. Rahman,2015
"Mere Haath Mein - Sunidhi Chauhan, Sonu Nigam, Jatin-Lalit, Prasoon Joshi","Sunidhi Chauhan, Sonu Nigam, Jatin-Lalit, Prasoon Joshi",Fanaa,2,Jatin-Lalit,2006
"Meri Aashiqui - Palak Muchhal, Arijit Singh","Palak Muchhal, Arijit Singh",Best Of Palak Muchhal,4,Palak Muchhal,2020
"Minunundae Mullapolae - Ashwin Renju, Karthik, Manu Manjith, Tovino Thomas, Balu Varghese, Santhy Balachandran, Neha Iyer","Ashwin Renju, Karthik, Manu Manjith, Tovino Thomas, Balu Varghese, Santhy Balachandran, Neha Iyer",Tharangam (Original Motion Picture Soundtrack),1,Ashwin Renju,2017
Mizhiyil - Shahabaz Aman,Shahabaz Aman,Mizhiyil (From 'Mayaanadhi'),1,"Rex Vijayan, Shahabaz Aman",2017
"Mohabbat Barsa De - Arko, Arjun, Arijit Singh, Samira Koppikar","Arko, Arjun, Arijit Singh, Samira Koppikar",Loveholic Arijit Singh,15,Arijit Singh,2019
"Mounam Chorum Neram - Rinu Razak, Shaan Rahman","Rinu Razak, Shaan Rahman",Ohm Shanthi Oshaana (Original Motion Picture Soundtrack),3,Shaan Rahman,2014
"Mundhinam - Prashanthini, Harris Jayaraj, Naresh Iyer","Prashanthini, Harris Jayaraj, Naresh Iyer",Vaaranam Aayiram (Original Motion Picture Soundtrack),4,Harris Jayaraj,2008
"Muskurane (Romantic) - Jeet Gannguli, Arijit Singh","Jeet Gannguli, Arijit Singh",Citylights (Original Motion Picture Soundtrack),1,Jeet Gannguli,2014
"My England - John Lunn, Eivør","John Lunn, Eivør",The Last Kingdom (Original Television Soundtrack),10,"John Lunn, Eivør",2018
"Naatu Naatu - Rahul Sipligunj, Kaala Bhairava, M M Keeravani","Rahul Sipligunj, Kaala Bhairava, M M Keeravani","Naatu Naatu (From ""Rrr"")",1,"Rahul Sipligunj, Kala Bhairava, M. M. Keeravani",2021
Nainowale Ne - Neeti Mohan,Neeti Mohan,Padmaavat,4,Sanjay Leela Bhansali,2018
